Data;CMIG4,SA;ABEV3,SA;PETR4,SA;USIM5,SA;BBAS3,SA;VALE3,SA;ITUB4,SA;CSMG3,SA;SBSP3,SA;LREN3,SA;CSNA3;BRFS3,SA;OIBR3,SA;B3SA3,SA;BRKM5,SA;RADL3,SA;VLID3,SA;JBSS3,SA;GGBR4,SA;EMBR3,SA;WEGE3,SA;ELET3,SA
01/12/2012;0,090342679;0,077221593;0,046087889;0,024;0,168416248;0,124468118;0,038918061;-0,027778343;0,004279739;0,020468515;0,130600572;0,087371136;0,056035083;0,090342679;-0,071117562;0,098571429;0,166667259;0,109057301;0,011851073;0,102212052;-0,009174995;-0,172547989
01/01/2013;-0,004285714;0,075628947;-0,073770492;-0,1921875;-0,046875;-0,047776751;0,02876642;0,107659171;0,032576262;-0,00050069;-0,093591906;0,036738636;0,026327602;-0,004285714;0,17265625;-0,035543997;-0,067032412;0,271666667;-0,025655382;0,138408374;-0,064444127;0,124800872
01/02/2013;-0,038020086;-0,030426234;-0,081305254;-0,052224371;0,079508197;-0,06110281;0,02096994;0,058606669;0,069899666;-0,054572227;-0,069767442;-0,018061293;0,03678664;-0,038020086;-0,028647568;0,025617978;-0,017667378;-0,100917431;-0,058385693;0,016413251;0,04869423;-0,023875661
01/03/2013;0,01715138;-0,061518984;0,108970433;0,097959184;0,02126044;-0,07063487;0,011416192;-0,038009806;-0,020006252;0,006366308;-0,087;0,035855669;0,024356007;0,01715138;-0,056927298;-0,055652936;-0,064749678;-0,008746356;-0,065653552;0,061602934;-0,016988037;0,005754704
01/04/2013;0,015395894;-0,001464978;0,090662324;-0,084572491;-0,06133829;-0,023911186;-0,050495856;-0,054713087;-0,100478437;0,010027522;-0,133625411;0,104742634;-0,004868032;0,015395894;0,270545382;0,007424594;-0,038460508;-0,061764706;0,016265452;-0,009577465;0,006528957;-0,221745328
01/05/2013;0,011552347;0,003056576;-0,00149333;-0,096446701;0,005940594;-0,111985998;0,058172547;-0,046086866;-0,04680858;-0,027422361;-0,164348925;0,015666246;-0,010158546;0,011552347;-0,043503151;0,058498388;-0,026666911;0,112852665;-0,16453265;0,111490387;0,08012184;0,040441859
01/06/2013;-0,120628123;0,010116585;-0,193918205;-0,159550562;-0,131496102;-0,050574744;-0,112107181;-0,191013007;-0,15736604;-0,142277083;-0,098335855;-0,029046415;-0,043719351;-0,120628123;-0,01316571;-0,064403829;-0,105753753;-0,087323944;-0,037547893;0,04503577;-0,005652038;-0,18197902
01/07/2013;-0,001623377;0,037521556;0,007421212;0,164438503;0,027651905;0,072985126;0,012867877;0,00527747;0,033112583;-0,054774664;0,102348993;0,002682009;-0,039752054;-0,001623377;0,066100667;-0,102325581;0,05882508;-0,016975309;0,161624204;-0,049951028;-0,005328755;-0,010798921
01/08/2013;-0,046341463;-0,028953735;0,042971084;0,192881745;0,016762197;0,107027724;-0,003777724;-0,205580929;-0,162820513;-0,049834376;0,293759513;0,134567927;-0,038502695;-0,046341463;0,003412912;-0,125388601;-0,151042994;0,155416013;0,175462646;0,01443299;0;0,087336674
01/09/2013;0,05541347;0,014127077;0,080635727;0,012512031;0,121475103;0,003494438;0,083769201;0,217392042;0,104645176;0,10698454;0,112941176;-0,020674629;0,054035967;0,05541347;0,006235885;0,085900474;0,015678915;0,05298913;-0,032069971;-0,094512195;-0,035714544;0,255018471
